Date/Time , F_1_Z_8A: Hazium Concentration, F_2_Z_2: Hazium Concentration, F_2_Z_4: Hazium Concentration, F_3_Z_1: Hazium Concentration
2016-05-31 0:00,0,0,0,0
2016-05-31 0:05,0,0,0,0
2016-05-31 0:10,0,0,0,0
2016-05-31 0:15,0,0,0,0
2016-05-31 0:20,0,0,0,0
2016-05-31 0:25,0,0,0,0
2016-05-31 0:30,0,0,0,0
2016-05-31 0:35,0,0,0,0
2016-05-31 0:40,0,0,0,0
2016-05-31 0:45,0,0,0,0
2016-05-31 0:50,0,0,0,0
2016-05-31 0:55,0,0,0,0
2016-05-31 1:00,0,0,0,0
2016-05-31 1:05,0,0,0,0
2016-05-31 1:10,0,0,0,0
2016-05-31 1:15,0,0,0,0
2016-05-31 1:20,0,0,0,0
2016-05-31 1:25,0,0,0,0
2016-05-31 1:30,0,0,0,0
2016-05-31 1:35,0,0,0,0
2016-05-31 1:40,0,0,0,0
2016-05-31 1:45,0,0,0,0
2016-05-31 1:50,0,0,0,0
2016-05-31 1:55,0,0,0,0
2016-05-31 2:00,0,0,0,0
2016-05-31 2:05,0,0,0,0
2016-05-31 2:10,0,0,0,0
2016-05-31 2:15,0,0,0,0
2016-05-31 2:20,0,0,0,0
2016-05-31 2:25,0,0,0,0
2016-05-31 2:30,0,0,0,0
2016-05-31 2:35,0,0,0,0
2016-05-31 2:40,0,0,0,0
2016-05-31 2:45,0,0,0,0
2016-05-31 2:50,0,0,0,0
2016-05-31 2:55,0,0,0,0
2016-05-31 3:00,0,0,0,0
2016-05-31 3:05,0,0,0,0
2016-05-31 3:10,0,0,0,0
2016-05-31 3:15,0,0,0,0
2016-05-31 3:20,0,0,0,0
2016-05-31 3:25,0,0,0,0
2016-05-31 3:30,0,0,0,0
2016-05-31 3:35,0,0,0,0
2016-05-31 3:40,0,0,0,0
2016-05-31 3:45,0,0,0,0
2016-05-31 3:50,0,0,0,0
2016-05-31 3:55,0,0,0,0
2016-05-31 4:00,0,0,0,0
2016-05-31 4:05,0,0,0,0
2016-05-31 4:10,0,0,0,0
2016-05-31 4:15,0,0,0,0
2016-05-31 4:20,0,0,0,0
2016-05-31 4:25,0,0,0,0
2016-05-31 4:30,0,0,0,0
2016-05-31 4:35,0,0,0,0
2016-05-31 4:40,0,0,0,0
2016-05-31 4:45,0,0,0,0
2016-05-31 4:50,0,0,0,0
2016-05-31 4:55,0,0,0,0
2016-05-31 5:00,0,0,0,0
2016-05-31 5:05,0,0,0,0
2016-05-31 5:10,0,0,0,0
2016-05-31 5:15,0,0,0,0
2016-05-31 5:20,0,0,0,0
2016-05-31 5:25,0,0,0,0
2016-05-31 5:30,0,0,0,0
2016-05-31 5:35,0,0,0,0
2016-05-31 5:40,0,0,0,0
2016-05-31 5:45,0,0,0,0
2016-05-31 5:50,0,0,0,0
2016-05-31 5:55,0,0,0,0
2016-05-31 6:00,0,0,0,0
2016-05-31 6:05,0,0,0,0
2016-05-31 6:10,0,0,0,0
2016-05-31 6:15,0,0,0,0
2016-05-31 6:20,0,0,0,0
2016-05-31 6:25,0,0,0,0
2016-05-31 6:30,0,0,0,0
2016-05-31 6:35,0,0,0,0
2016-05-31 6:40,0,0,0,0
2016-05-31 6:45,0,0,0,0
2016-05-31 6:50,0,0,0,0
2016-05-31 6:55,0,0,0,0
2016-05-31 7:00,0,0,0,0
2016-05-31 7:05,0,0,0,0
2016-05-31 7:10,0,0,0,0
2016-05-31 7:15,0,0,0,0
2016-05-31 7:20,0,0,0,0
2016-05-31 7:25,0,0,0,0
2016-05-31 7:30,0,0,0,0
2016-05-31 7:35,0,0,0,0
2016-05-31 7:40,0,0,0,0
2016-05-31 7:45,0,0,0,0
2016-05-31 7:50,0,0,0,0
2016-05-31 7:55,0,0,0,0
2016-05-31 8:00,0,0,0,0
2016-05-31 8:05,0,0,0,0
2016-05-31 8:10,0,0,0,0
2016-05-31 8:15,0,0,0,0
2016-05-31 8:20,0,0,0,0
2016-05-31 8:25,0,0,0,0
2016-05-31 8:30,0,0,0,0
2016-05-31 8:35,0,0,0,0
2016-05-31 8:40,0,0,0,0
2016-05-31 8:45,0,0,0,0
2016-05-31 8:50,0,0,0,0
2016-05-31 8:55,0,0,0,0
2016-05-31 9:00,0,0,0,0
2016-05-31 9:05,0,0,0,0
2016-05-31 9:10,0,0,0,0
2016-05-31 9:15,0,0,0,0
2016-05-31 9:20,0,0,0,0
2016-05-31 9:25,0,0,0,0
2016-05-31 9:30,0,0,0,0
2016-05-31 9:35,0,0,0,0
2016-05-31 9:40,0,0,0,0
2016-05-31 9:45,0,0,0,0
2016-05-31 9:50,0,0,0,0
2016-05-31 9:55,0,0,0,0
2016-05-31 10:00,0,0,0,0
2016-05-31 10:05,0,0,0,0
2016-05-31 10:10,0,0,0,0
2016-05-31 10:15,0,0,0,0
2016-05-31 10:20,0,0,0,0
2016-05-31 10:25,0,0,0,0
2016-05-31 10:30,0,0,0,0
2016-05-31 10:35,0,0,0,0
2016-05-31 10:40,0,0,0,0
2016-05-31 10:45,0,0,0,0
2016-05-31 10:50,0,0,0,0
2016-05-31 10:55,0,0,0,0
2016-05-31 11:00,0,0,0,0
2016-05-31 11:05,0,0,0,0
2016-05-31 11:10,0,0,0,0
2016-05-31 11:15,0,0,0,0
2016-05-31 11:20,0,0,0,0
2016-05-31 11:25,0,0,0,0
2016-05-31 11:30,0,0,0,0
2016-05-31 11:35,0,0,0,0
2016-05-31 11:40,0,0,0,0
2016-05-31 11:45,0,0,0,0
2016-05-31 11:50,0,0,0,0
2016-05-31 11:55,0,0,0,0
2016-05-31 12:00,0,0,0,0
2016-05-31 12:05,0,0,0,0
2016-05-31 12:10,0,0,0,0
2016-05-31 12:15,0,0,0,0
2016-05-31 12:20,0,0,0,0
2016-05-31 12:25,0,0,0,0
2016-05-31 12:30,0,0,0,0
2016-05-31 12:35,0,0,0,0
2016-05-31 12:40,0,0,0,0
2016-05-31 12:45,0,0,0,0
2016-05-31 12:50,0,0,0,0
2016-05-31 12:55,0,0,0,0
2016-05-31 13:00,0,0,0,0
2016-05-31 13:05,0,0,0,0
2016-05-31 13:10,0,0,0,0
2016-05-31 13:15,0,0,0,0
2016-05-31 13:20,0,0,0,0
2016-05-31 13:25,0,0,0,0
2016-05-31 13:30,0,0,0,0
2016-05-31 13:35,0,0,0,0
2016-05-31 13:40,0,0,0,0
2016-05-31 13:45,0,0,0,0
2016-05-31 13:50,0,0,0,0
2016-05-31 13:55,0,0,0,0
2016-05-31 14:00,0,0,0,0
2016-05-31 14:05,0,0,0,0
2016-05-31 14:10,0,0,0,0
2016-05-31 14:15,0,0,0,0
2016-05-31 14:20,0,0,0,0
2016-05-31 14:25,0,0,0,0
2016-05-31 14:30,0,0,0,0
2016-05-31 14:35,0,0,0,0
2016-05-31 14:40,0,0,0,0
2016-05-31 14:45,0,0,0,0
2016-05-31 14:50,0,0,0,0
2016-05-31 14:55,0,0,0,0
2016-05-31 15:00,0,0,0,0
2016-05-31 15:05,0,0,0,0
2016-05-31 15:10,0,0,0,0
2016-05-31 15:15,0,0,0,0
2016-05-31 15:20,0,0,0,0
2016-05-31 15:25,0,0,0,0
2016-05-31 15:30,0,0,0,0
2016-05-31 15:35,0,0,0,0
2016-05-31 15:40,0,0,0,0
2016-05-31 15:45,0,0,0,0
2016-05-31 15:50,0,0,0,0
2016-05-31 15:55,0,0,0,0
2016-05-31 16:00,0,0,0,0
2016-05-31 16:05,0,0,0,0
2016-05-31 16:10,0,0,0,0
2016-05-31 16:15,0,0,0,0
2016-05-31 16:20,0,0,0,0
2016-05-31 16:25,0,0,0,0
2016-05-31 16:30,0,0,0,0
2016-05-31 16:35,0,0,0,0
2016-05-31 16:40,0,0,0,0
2016-05-31 16:45,0,0,0,0
2016-05-31 16:50,0,0,0,0
2016-05-31 16:55,0,0,0,0
2016-05-31 17:00,0,0,0,0
2016-05-31 17:05,0,0,0,0
2016-05-31 17:10,0,0,0,0
2016-05-31 17:15,0,0,0,0
2016-05-31 17:20,0,0,0,0
2016-05-31 17:25,0,0,0,0
2016-05-31 17:30,0,0,0,0
2016-05-31 17:35,0,0,0,0
2016-05-31 17:40,0,0,0,0
2016-05-31 17:45,0,0,0,0
2016-05-31 17:50,0,0,0,0
2016-05-31 17:55,0,0,0,0
2016-05-31 18:00,0,0,0,0
2016-05-31 18:05,0,0,0,0
2016-05-31 18:10,0,0,0,0
2016-05-31 18:15,0,0,0,0
2016-05-31 18:20,0,0,0,0
2016-05-31 18:25,0,0,0,0
2016-05-31 18:30,0,0,0,0
2016-05-31 18:35,0,0,0,0
2016-05-31 18:40,0,0,0,0
2016-05-31 18:45,0,0,0,0
2016-05-31 18:50,0,0,0,0
2016-05-31 18:55,0,0,0,0
2016-05-31 19:00,0,0,0,0
2016-05-31 19:05,0,0,0,0
2016-05-31 19:10,0,0,0,0
2016-05-31 19:15,0,0,0,0
2016-05-31 19:20,0,0,0,0
2016-05-31 19:25,0,0,0,0
2016-05-31 19:30,0,0,0,0
2016-05-31 19:35,0,0,0,0
2016-05-31 19:40,0,0,0,0
2016-05-31 19:45,0,0,0,0
2016-05-31 19:50,0,0,0,0
2016-05-31 19:55,0,0,0,0
2016-05-31 20:00,0,0,0,0
2016-05-31 20:05,0,0,0,0
2016-05-31 20:10,0,0,0,0
2016-05-31 20:15,0,0,0,0
2016-05-31 20:20,0,0,0,0
2016-05-31 20:25,0,0,0,0
2016-05-31 20:30,0,0,0,0
2016-05-31 20:35,0,0,0,0
2016-05-31 20:40,0,0,0,0
2016-05-31 20:45,0,0,0,0
2016-05-31 20:50,0,0,0,0
2016-05-31 20:55,0,0,0,0
2016-05-31 21:00,0,0,0,0
2016-05-31 21:05,0,0,0,0
